"","title","point","review"
"222","탐정: 리턴즈","10","탐정: 리턴즈올해들어 처음으로 크게 웃었습니다참웃을일이 없었던 올해였는데 이광수 넘 감사해요 성동일권상우이광수 케미쩔어요 감사합니다 돈이 하나도 아깝지않네여 "
"223","덕혜옹주","1","덕혜옹주만든 새끼나 돈 준다고 좋다고 연기한 새끼나 재밌다고 쳐보는 새끼들이나 다 동급이다 하늘에 계신 독립투사들이 이딴 왜곡영화 보시면 뭐라고 하실까? 감독,배우,제작사 평생을 부끄러워할 일이다 민비나 일본에 붙어 호의호식한 덕혜옹주나 다를게 없다 "
"224","탐정: 리턴즈","10","탐정: 리턴즈너무 재미있었어요~~오랫만에 소리내어 크게 웃었어요~웃게해줘서 고마워요^^ "
"225","오션스8","10","오션스8다들 너무 멋지고 존잼임ㅠ "
"226","엔테베 작전","1","엔테베 작전유대인들이 지금 팔레스타인에서 하고 있는 짓거리에 대한 면죄부는 될 수 없다. "
"227","신들의 전쟁","8","신들의 전쟁잼씀! 캐릭터들이 다들 너무 멋짐!비주얼좋고 "
"228","1987","10","1987가슴이 먹먹해지는 역사 "
"229","쥬라기 월드: 폴른 킹덤","8","쥬라기 월드: 폴른 킹덤아이들이 이전 시리즈보다 더 재미있고 깜짝깜짝   놀라는 긴장감에 다시 보고 싶다고한다 "
"230","은혼","8","은혼만화를 생각하지 말고 보면 나름 재미가 있다. "
"231","류이치 사카모토: 코다","7","류이치 사카모토: 코다재미있게 봤어요. 피아노 너무 좋았습니다. "
"232","오직 그대만","10","오직 그대만딩가 연기도 완전 짱....!!!! 어쩜 저렇게 잘 하지ㅜㅜ 똑똑해요 완전ㅠㅠ "
"233","쓰리 빌보드","8","쓰리 빌보드스토리 연출이런거 모르는데 그냥 보면서재밌었다 그게다가아닌가? "
"234","탐정: 리턴즈","8","탐정: 리턴즈처음에는 살짝 지루하다가  뒤에 웃겨요 "
"235","쥬라기 월드: 폴른 킹덤","10","쥬라기 월드: 폴른 킹덤쥬라기 월드: 폴른 킹덤 한번 쯤 보는 걸 추천드립니다! 그리고 저는 쥬라기 월드 강팬입니다!! 쥬라기 월드 잘 대길바람니다!!^^ ♡.♡ "
"236","탐정: 리턴즈","8","탐정: 리턴즈생각보다 잼났어요ㅎㅎ "
